sample_ID,data_source,Strains,Medium,Temperature,pert_time,pert_time_unit,pert_id,perturbation_no_concentration,instrument,Yeast_cell_plate,protein_well,split_final,strain_role,chemical_role
B1,WAYB,CRD,YNB+CSM+2% galactose,30,15,min,#1,Water,O,WAY_BP1,A1,test_strain_only,test,train
B2,WAYB,CRD,YNB+CSM+2% galactose,30,15,min,#9,Amphotericin B,O,WAY_BP1,A2,test_both,test,val
B13,WAYB,CRD,YNB+CSM+2% galactose,30,15,min,#2,EDTA,O,WAY_BP1,B1,test_strain_only,test,train
B14,WAYB,CRD,YNB+CSM+2% galactose,30,15,min,#10,Rapamycin,O,WAY_BP1,B2,test_strain_only,test,train
B25,WAYB,CRD,YNB+CSM+2% galactose,30,15,min,#3,H2O2,O,WAY_BP1,C1,test_both,test,test
B26,WAYB,CRD,YNB+CSM+2% galactose,30,15,min,#11,FCCP,O,WAY_BP1,C2,test_both,test,val
B27,WAYB,CGD,YNB+CSM+2% galactose,30,15,min,#3,H2O2,O,WAY_BP1,C3,test_chem_only,train,test
B29,WAYB,BAH,YNB+CSM+2% galactose,30,15,min,#3,H2O2,O,WAY_BP1,C5,test_chem_only,train,test
B31,WAYB,BAI,YNB+CSM+2% galactose,30,15,min,#3,H2O2,O,WAY_BP1,C7,test_both,val,test
B33,WAYB,CEK,YNB+CSM+2% galactose,30,15,min,#3,H2O2,O,WAY_BP1,C9,test_chem_only,train,test
B35,WAYB,DHY210,YNB+CSM+2% galactose,30,15,min,#3,H2O2,O,WAY_BP1,C11,test_chem_only,train,test
B37,WAYB,CRD,YNB+CSM+2% galactose,30,15,min,#4,MMS,O,WAY_BP1,D1,test_both,test,test
B38,WAYB,CRD,YNB+CSM+2% galactose,30,15,min,#12,DMSO,O,WAY_BP1,D2,test_strain_only,test,train
B39,WAYB,CGD,YNB+CSM+2% galactose,30,15,min,#4,MMS,O,WAY_BP1,D3,test_chem_only,train,test
B41,WAYB,BAH,YNB+CSM+2% galactose,30,15,min,#4,MMS,O,WAY_BP1,D5,test_chem_only,train,test
B43,WAYB,BAI,YNB+CSM+2% galactose,30,15,min,#4,MMS,O,WAY_BP1,D7,test_both,val,test
B45,WAYB,CEK,YNB+CSM+2% galactose,30,15,min,#4,MMS,O,WAY_BP1,D9,test_chem_only,train,test
B47,WAYB,DHY210,YNB+CSM+2% galactose,30,15,min,#4,MMS,O,WAY_BP1,D11,test_chem_only,train,test
B49,WAYB,CRD,YNB+CSM+2% galactose,30,15,min,#5,Cisplatin,O,WAY_BP1,E1,test_strain_only,test,train
B50,WAYB,CRD,YNB+CSM+2% galactose,30,15,min,#13,NaCl,O,WAY_BP1,E2,test_strain_only,test,train
B61,WAYB,CRD,YNB+CSM+2% galactose,30,15,min,#6,CHX,O,WAY_BP1,F1,test_strain_only,test,train
B62,WAYB,CRD,YNB+CSM+2% galactose,30,15,min,#14,Hydroxyurea,O,WAY_BP1,F2,test_both,test,val
B73,WAYB,CRD,YNB+CSM+2% galactose,30,15,min,#7,SDS,O,WAY_BP1,G1,test_strain_only,test,train
B74,WAYB,CRD,YNB+CSM+2% galactose,30,15,min,#15,Sorbitol,O,WAY_BP1,G2,test_strain_only,test,train
B75,WAYB,CGD,YNB+CSM+2% galactose,30,15,min,#7,SDS,O,WAY_BP1,G3,test_time,train,train
B85,WAYB,CRD,YNB+CSM+2% galactose,30,15,min,#8,G418,O,WAY_BP1,H1,test_both,test,test
B86,WAYB,CRD,YNB+CSM+2% galactose,30,15,min,#16,EDTA,O,WAY_BP1,H2,test_strain_only,test,train
B87,WAYB,CGD,YNB+CSM+2% galactose,30,15,min,#8,G418,O,WAY_BP1,H3,test_chem_only,train,test
B89,WAYB,BAH,YNB+CSM+2% galactose,30,15,min,#8,G418,O,WAY_BP1,H5,test_chem_only,train,test
B91,WAYB,BAI,YNB+CSM+2% galactose,30,15,min,#8,G418,O,WAY_BP1,H7,test_both,val,test
B93,WAYB,CEK,YNB+CSM+2% galactose,30,15,min,#8,G418,O,WAY_BP1,H9,test_chem_only,train,test
B95,WAYB,DHY210,YNB+CSM+2% galactose,30,15,min,#8,G418,O,WAY_BP1,H11,test_chem_only,train,test
B97,WAYB,CRD,YNB+CSM+2% galactose,30,30,min,#1,Water,O,WAY_BP2,A1,test_strain_only,test,train
B98,WAYB,CRD,YNB+CSM+2% galactose,30,30,min,#9,Amphotericin B,O,WAY_BP2,A2,test_both,test,val
B101,WAYB,BAH,YNB+CSM+2% galactose,30,30,min,#1,Water,O,WAY_BP2,A5,test_time,train,train
B109,WAYB,CRD,YNB+CSM+2% galactose,30,30,min,#2,EDTA,O,WAY_BP2,B1,test_strain_only,test,train
B110,WAYB,CRD,YNB+CSM+2% galactose,30,30,min,#10,Rapamycin,O,WAY_BP2,B2,test_strain_only,test,train
B118,WAYB,CEK,YNB+CSM+2% galactose,30,30,min,#10,Rapamycin,O,WAY_BP2,B10,test_time,train,train
B121,WAYB,CRD,YNB+CSM+2% galactose,30,30,min,#3,H2O2,O,WAY_BP2,C1,test_both,test,test
B122,WAYB,CRD,YNB+CSM+2% galactose,30,30,min,#11,FCCP,O,WAY_BP2,C2,test_both,test,val
B123,WAYB,CGD,YNB+CSM+2% galactose,30,30,min,#3,H2O2,O,WAY_BP2,C3,test_chem_only,train,test
B125,WAYB,BAH,YNB+CSM+2% galactose,30,30,min,#3,H2O2,O,WAY_BP2,C5,test_chem_only,train,test
B127,WAYB,BAI,YNB+CSM+2% galactose,30,30,min,#3,H2O2,O,WAY_BP2,C7,test_both,val,test
B129,WAYB,CEK,YNB+CSM+2% galactose,30,30,min,#3,H2O2,O,WAY_BP2,C9,test_chem_only,train,test
B133,WAYB,CRD,YNB+CSM+2% galactose,30,30,min,#4,MMS,O,WAY_BP2,D1,test_both,test,test
B134,WAYB,CRD,YNB+CSM+2% galactose,30,30,min,#12,DMSO,O,WAY_BP2,D2,test_strain_only,test,train
B135,WAYB,CGD,YNB+CSM+2% galactose,30,30,min,#4,MMS,O,WAY_BP2,D3,test_chem_only,train,test
B137,WAYB,BAH,YNB+CSM+2% galactose,30,30,min,#4,MMS,O,WAY_BP2,D5,test_chem_only,train,test
B139,WAYB,BAI,YNB+CSM+2% galactose,30,30,min,#4,MMS,O,WAY_BP2,D7,test_both,val,test
B141,WAYB,CEK,YNB+CSM+2% galactose,30,30,min,#4,MMS,O,WAY_BP2,D9,test_chem_only,train,test
B143,WAYB,DHY210,YNB+CSM+2% galactose,30,30,min,#4,MMS,O,WAY_BP2,D11,test_chem_only,train,test
B145,WAYB,CRD,YNB+CSM+2% galactose,30,30,min,#5,Cisplatin,O,WAY_BP2,E1,test_strain_only,test,train
B146,WAYB,CRD,YNB+CSM+2% galactose,30,30,min,#13,NaCl,O,WAY_BP2,E2,test_strain_only,test,train
B157,WAYB,CRD,YNB+CSM+2% galactose,30,30,min,#6,CHX,O,WAY_BP2,F1,test_strain_only,test,train
B158,WAYB,CRD,YNB+CSM+2% galactose,30,30,min,#14,Hydroxyurea,O,WAY_BP2,F2,test_both,test,val
B169,WAYB,CRD,YNB+CSM+2% galactose,30,30,min,#7,SDS,O,WAY_BP2,G1,test_strain_only,test,train
B170,WAYB,CRD,YNB+CSM+2% galactose,30,30,min,#15,Sorbitol,O,WAY_BP2,G2,test_strain_only,test,train
B177,WAYB,CEK,YNB+CSM+2% galactose,30,30,min,#7,SDS,O,WAY_BP2,G9,test_time,train,train
B181,WAYB,CRD,YNB+CSM+2% galactose,30,30,min,#8,G418,O,WAY_BP2,H1,test_both,test,test
B182,WAYB,CRD,YNB+CSM+2% galactose,30,30,min,#16,EDTA,O,WAY_BP2,H2,test_strain_only,test,train
B183,WAYB,CGD,YNB+CSM+2% galactose,30,30,min,#8,G418,O,WAY_BP2,H3,test_chem_only,train,test
B185,WAYB,BAH,YNB+CSM+2% galactose,30,30,min,#8,G418,O,WAY_BP2,H5,test_chem_only,train,test
B187,WAYB,BAI,YNB+CSM+2% galactose,30,30,min,#8,G418,O,WAY_BP2,H7,test_both,val,test
B189,WAYB,CEK,YNB+CSM+2% galactose,30,30,min,#8,G418,O,WAY_BP2,H9,test_chem_only,train,test
B191,WAYB,DHY210,YNB+CSM+2% galactose,30,30,min,#8,G418,O,WAY_BP2,H11,test_chem_only,train,test
B193,WAYB,CRD,YNB+CSM+2% galactose,30,60,min,#1,Water,O,WAY_BP3,A1,test_strain_only,test,train
B194,WAYB,CRD,YNB+CSM+2% galactose,30,60,min,#9,Amphotericin B,O,WAY_BP3,A2,test_both,test,val
B205,WAYB,CRD,YNB+CSM+2% galactose,30,60,min,#2,EDTA,O,WAY_BP3,B1,test_strain_only,test,train
B206,WAYB,CRD,YNB+CSM+2% galactose,30,60,min,#10,Rapamycin,O,WAY_BP3,B2,test_strain_only,test,train
B216,WAYB,DHY210,YNB+CSM+2% galactose,30,60,min,#10,Rapamycin,O,WAY_BP3,B12,test_time,train,train
