sample_ID,data_source,Strains,Medium,Temperature,pert_time,pert_time_unit,pert_id,perturbation_no_concentration,instrument,Yeast_cell_plate,protein_well,split_final,strain_role,chemical_role
B4,WAYB,CGD,YNB+CSM+2% galactose,30,15,min,#9,Amphotericin B,O,WAY_BP1,A4,val_chem_only,train,val
B5,WAYB,BAH,YNB+CSM+2% galactose,30,15,min,#1,Water,O,WAY_BP1,A5,train,train,train
B6,WAYB,BAH,YNB+CSM+2% galactose,30,15,min,#9,Amphotericin B,O,WAY_BP1,A6,val_chem_only,train,val
B7,WAYB,BAI,YNB+CSM+2% galactose,30,15,min,#1,Water,O,WAY_BP1,A7,val_strain_only,val,train
B8,WAYB,BAI,YNB+CSM+2% galactose,30,15,min,#9,Amphotericin B,O,WAY_BP1,A8,val_both,val,val
B9,WAYB,CEK,YNB+CSM+2% galactose,30,15,min,#1,Water,O,WAY_BP1,A9,train,train,train
B10,WAYB,CEK,YNB+CSM+2% galactose,30,15,min,#9,Amphotericin B,O,WAY_BP1,A10,val_chem_only,train,val
B11,WAYB,DHY210,YNB+CSM+2% galactose,30,15,min,#1,Water,O,WAY_BP1,A11,train,train,train
B12,WAYB,DHY210,YNB+CSM+2% galactose,30,15,min,#9,Amphotericin B,O,WAY_BP1,A12,val_chem_only,train,val
B15,WAYB,CGD,YNB+CSM+2% galactose,30,15,min,#2,EDTA,O,WAY_BP1,B3,train,train,train
B16,WAYB,CGD,YNB+CSM+2% galactose,30,15,min,#10,Rapamycin,O,WAY_BP1,B4,train,train,train
B17,WAYB,BAH,YNB+CSM+2% galactose,30,15,min,#2,EDTA,O,WAY_BP1,B5,train,train,train
B18,WAYB,BAH,YNB+CSM+2% galactose,30,15,min,#10,Rapamycin,O,WAY_BP1,B6,train,train,train
B19,WAYB,BAI,YNB+CSM+2% galactose,30,15,min,#2,EDTA,O,WAY_BP1,B7,val_strain_only,val,train
B20,WAYB,BAI,YNB+CSM+2% galactose,30,15,min,#10,Rapamycin,O,WAY_BP1,B8,val_strain_only,val,train
B21,WAYB,CEK,YNB+CSM+2% galactose,30,15,min,#2,EDTA,O,WAY_BP1,B9,train,train,train
B22,WAYB,CEK,YNB+CSM+2% galactose,30,15,min,#10,Rapamycin,O,WAY_BP1,B10,train,train,train
B23,WAYB,DHY210,YNB+CSM+2% galactose,30,15,min,#2,EDTA,O,WAY_BP1,B11,train,train,train
B24,WAYB,DHY210,YNB+CSM+2% galactose,30,15,min,#10,Rapamycin,O,WAY_BP1,B12,train,train,train
B28,WAYB,CGD,YNB+CSM+2% galactose,30,15,min,#11,FCCP,O,WAY_BP1,C4,val_chem_only,train,val
B30,WAYB,BAH,YNB+CSM+2% galactose,30,15,min,#11,FCCP,O,WAY_BP1,C6,val_chem_only,train,val
B32,WAYB,BAI,YNB+CSM+2% galactose,30,15,min,#11,FCCP,O,WAY_BP1,C8,val_both,val,val
